par_1,par_2,score_total,score_medio,tipo_ciclo
PAR_075,PAR_117,1.562,0.781,2_pares
PAR_037,PAR_057,1.557,0.778,2_pares
PAR_069,PAR_075,1.546,0.773,2_pares
PAR_003,PAR_012,1.542,0.771,2_pares
PAR_012,PAR_109,1.537,0.768,2_pares
PAR_012,PAR_037,1.533,0.766,2_pares
PAR_012,PAR_075,1.531,0.766,2_pares
PAR_070,PAR_093,1.52,0.76,2_pares
PAR_057,PAR_075,1.519,0.76,2_pares
PAR_055,PAR_075,1.516,0.758,2_pares
PAR_055,PAR_061,1.511,0.756,2_pares
PAR_003,PAR_094,1.509,0.754,2_pares
PAR_037,PAR_075,1.506,0.753,2_pares
PAR_094,PAR_120,1.499,0.75,2_pares
PAR_075,PAR_080,1.499,0.75,2_pares
PAR_073,PAR_094,1.499,0.75,2_pares
PAR_012,PAR_069,1.498,0.749,2_pares
PAR_037,PAR_068,1.493,0.746,2_pares
PAR_028,PAR_075,1.493,0.746,2_pares
PAR_055,PAR_070,1.491,0.746,2_pares
PAR_039,PAR_094,1.491,0.746,2_pares
PAR_012,PAR_061,1.491,0.746,2_pares
PAR_037,PAR_117,1.49,0.745,2_pares
PAR_012,PAR_094,1.487,0.744,2_pares
PAR_021,PAR_057,1.487,0.744,2_pares
PAR_069,PAR_090,1.485,0.742,2_pares
PAR_014,PAR_037,1.484,0.742,2_pares
PAR_003,PAR_069,1.483,0.742,2_pares
PAR_014,PAR_075,1.482,0.741,2_pares
PAR_037,PAR_070,1.482,0.741,2_pares
PAR_055,PAR_092,1.479,0.74,2_pares
PAR_014,PAR_061,1.479,0.74,2_pares
PAR_003,PAR_075,1.479,0.74,2_pares
PAR_014,PAR_094,1.476,0.738,2_pares
PAR_070,PAR_094,1.474,0.737,2_pares
PAR_037,PAR_093,1.473,0.736,2_pares
PAR_012,PAR_090,1.471,0.736,2_pares
PAR_037,PAR_096,1.471,0.736,2_pares
PAR_037,PAR_073,1.471,0.736,2_pares
PAR_075,PAR_093,1.471,0.736,2_pares
PAR_061,PAR_069,1.469,0.734,2_pares
PAR_061,PAR_075,1.465,0.732,2_pares
PAR_061,PAR_073,1.465,0.732,2_pares
PAR_026,PAR_103,1.464,0.732,2_pares
PAR_037,PAR_080,1.464,0.732,2_pares
PAR_037,PAR_039,1.463,0.732,2_pares
PAR_012,PAR_021,1.462,0.731,2_pares
PAR_051,PAR_055,1.462,0.731,2_pares
PAR_046,PAR_061,1.461,0.73,2_pares
PAR_014,PAR_070,1.459,0.73,2_pares
PAR_061,PAR_080,1.459,0.73,2_pares
PAR_003,PAR_090,1.455,0.728,2_pares
PAR_061,PAR_068,1.452,0.726,2_pares
PAR_028,PAR_061,1.452,0.726,2_pares
PAR_005,PAR_070,1.451,0.726,2_pares
PAR_067,PAR_094,1.451,0.726,2_pares
PAR_070,PAR_109,1.451,0.726,2_pares
PAR_021,PAR_070,1.449,0.724,2_pares
PAR_052,PAR_075,1.449,0.725,2_pares
PAR_028,PAR_094,1.449,0.724,2_pares
PAR_015,PAR_101,1.448,0.724,2_pares
PAR_069,PAR_070,1.448,0.724,2_pares
PAR_021,PAR_055,1.447,0.724,2_pares
PAR_037,PAR_090,1.446,0.723,2_pares
PAR_094,PAR_117,1.446,0.723,2_pares
PAR_037,PAR_085,1.446,0.723,2_pares
PAR_003,PAR_021,1.446,0.723,2_pares
PAR_037,PAR_110,1.444,0.722,2_pares
