par_1,par_2,score_total,score_medio,tipo_ciclo
PARV2_166,PARV2_219,1.589,0.794,2_pares
PARV2_159,PARV2_166,1.565,0.782,2_pares
PARV2_116,PARV2_166,1.55,0.775,2_pares
PARV2_129,PARV2_159,1.535,0.768,2_pares
PARV2_049,PARV2_166,1.527,0.764,2_pares
PARV2_069,PARV2_129,1.489,0.744,2_pares
PARV2_166,PARV2_221,1.489,0.744,2_pares
PARV2_166,PARV2_181,1.485,0.742,2_pares
PARV2_013,PARV2_198,1.479,0.74,2_pares
PARV2_049,PARV2_142,1.475,0.738,2_pares
PARV2_065,PARV2_166,1.473,0.736,2_pares
PARV2_193,PARV2_204,1.472,0.736,2_pares
PARV2_129,PARV2_198,1.47,0.735,2_pares
PARV2_013,PARV2_159,1.47,0.735,2_pares
PARV2_098,PARV2_143,1.466,0.733,2_pares
PARV2_006,PARV2_113,1.458,0.729,2_pares
PARV2_065,PARV2_079,1.454,0.727,2_pares
PARV2_107,PARV2_166,1.453,0.727,2_pares
PARV2_204,PARV2_212,1.447,0.724,2_pares
PARV2_035,PARV2_166,1.445,0.722,2_pares
PARV2_122,PARV2_204,1.445,0.722,2_pares
PARV2_181,PARV2_204,1.444,0.722,2_pares
PARV2_006,PARV2_166,1.444,0.722,2_pares
PARV2_139,PARV2_166,1.444,0.722,2_pares
PARV2_159,PARV2_235,1.442,0.721,2_pares
PARV2_041,PARV2_074,1.439,0.72,2_pares
PARV2_049,PARV2_159,1.437,0.718,2_pares
PARV2_107,PARV2_159,1.436,0.718,2_pares
PARV2_159,PARV2_193,1.435,0.718,2_pares
PARV2_090,PARV2_159,1.432,0.716,2_pares
PARV2_166,PARV2_204,1.431,0.716,2_pares
PARV2_159,PARV2_181,1.431,0.716,2_pares
PARV2_074,PARV2_113,1.43,0.715,2_pares
PARV2_074,PARV2_184,1.429,0.715,2_pares
PARV2_166,PARV2_244,1.426,0.713,2_pares
PARV2_184,PARV2_239,1.426,0.713,2_pares
PARV2_166,PARV2_177,1.426,0.713,2_pares
PARV2_139,PARV2_159,1.426,0.713,2_pares
PARV2_074,PARV2_129,1.424,0.712,2_pares
PARV2_177,PARV2_204,1.422,0.711,2_pares
PARV2_065,PARV2_159,1.418,0.709,2_pares
PARV2_022,PARV2_108,1.418,0.709,2_pares
PARV2_028,PARV2_166,1.417,0.709,2_pares
PARV2_063,PARV2_166,1.417,0.708,2_pares
PARV2_074,PARV2_187,1.417,0.708,2_pares
PARV2_108,PARV2_204,1.415,0.708,2_pares
PARV2_159,PARV2_204,1.414,0.707,2_pares
PARV2_060,PARV2_108,1.414,0.707,2_pares
PARV2_049,PARV2_239,1.413,0.707,2_pares
PARV2_032,PARV2_166,1.411,0.706,2_pares
PARV2_013,PARV2_014,1.409,0.705,2_pares
PARV2_070,PARV2_074,1.409,0.705,2_pares
PARV2_121,PARV2_166,1.408,0.704,2_pares
PARV2_134,PARV2_166,1.408,0.704,2_pares
PARV2_079,PARV2_129,1.407,0.704,2_pares
PARV2_166,PARV2_171,1.407,0.704,2_pares
PARV2_074,PARV2_116,1.403,0.702,2_pares
PARV2_014,PARV2_129,1.401,0.7,2_pares
PARV2_074,PARV2_121,1.399,0.7,2_pares
PARV2_074,PARV2_135,1.398,0.699,2_pares
PARV2_049,PARV2_134,1.396,0.698,2_pares
PARV2_013,PARV2_074,1.395,0.698,2_pares
PARV2_049,PARV2_174,1.394,0.697,2_pares
PARV2_013,PARV2_239,1.394,0.697,2_pares
PARV2_133,PARV2_159,1.393,0.696,2_pares
PARV2_181,PARV2_239,1.393,0.697,2_pares
PARV2_166,PARV2_209,1.393,0.697,2_pares
PARV2_035,PARV2_159,1.39,0.695,2_pares
PARV2_065,PARV2_198,1.39,0.695,2_pares
PARV2_006,PARV2_159,1.39,0.695,2_pares
PARV2_001,PARV2_111,1.39,0.695,2_pares
PARV2_006,PARV2_225,1.39,0.695,2_pares
PARV2_204,PARV2_246,1.389,0.695,2_pares
PARV2_006,PARV2_074,1.389,0.695,2_pares
PARV2_063,PARV2_204,1.389,0.694,2_pares
PARV2_087,PARV2_108,1.388,0.694,2_pares
PARV2_159,PARV2_219,1.388,0.694,2_pares
PARV2_159,PARV2_164,1.388,0.694,2_pares
PARV2_166,PARV2_235,1.387,0.694,2_pares
PARV2_074,PARV2_219,1.386,0.693,2_pares
PARV2_001,PARV2_074,1.384,0.692,2_pares
PARV2_193,PARV2_239,1.383,0.692,2_pares
PARV2_121,PARV2_204,1.383,0.692,2_pares
PARV2_122,PARV2_159,1.383,0.692,2_pares
PARV2_065,PARV2_146,1.383,0.692,2_pares
PARV2_142,PARV2_204,1.382,0.691,2_pares
PARV2_166,PARV2_239,1.379,0.69,2_pares
PARV2_187,PARV2_239,1.379,0.69,2_pares
PARV2_049,PARV2_193,1.377,0.689,2_pares
PARV2_129,PARV2_243,1.377,0.689,2_pares
PARV2_194,PARV2_204,1.376,0.688,2_pares
PARV2_035,PARV2_239,1.375,0.688,2_pares
PARV2_133,PARV2_166,1.374,0.687,2_pares
PARV2_232,PARV2_239,1.374,0.687,2_pares
PARV2_129,PARV2_200,1.372,0.686,2_pares
PARV2_200,PARV2_219,1.372,0.686,2_pares
PARV2_159,PARV2_177,1.372,0.686,2_pares
PARV2_074,PARV2_239,1.372,0.686,2_pares
PARV2_006,PARV2_187,1.372,0.686,2_pares
PARV2_074,PARV2_218,1.371,0.685,2_pares
PARV2_177,PARV2_239,1.371,0.685,2_pares
PARV2_032,PARV2_204,1.37,0.685,2_pares
PARV2_166,PARV2_207,1.369,0.684,2_pares
PARV2_164,PARV2_166,1.368,0.684,2_pares
PARV2_121,PARV2_239,1.367,0.683,2_pares
PARV2_102,PARV2_204,1.367,0.683,2_pares
PARV2_134,PARV2_204,1.366,0.683,2_pares
PARV2_013,PARV2_174,1.365,0.682,2_pares
PARV2_108,PARV2_239,1.363,0.681,2_pares
PARV2_006,PARV2_198,1.362,0.681,2_pares
PARV2_204,PARV2_239,1.361,0.68,2_pares
PARV2_179,PARV2_200,1.361,0.681,2_pares
PARV2_049,PARV2_127,1.359,0.679,2_pares
PARV2_065,PARV2_239,1.358,0.679,2_pares
PARV2_032,PARV2_159,1.357,0.678,2_pares
PARV2_200,PARV2_244,1.356,0.678,2_pares
PARV2_121,PARV2_159,1.354,0.677,2_pares
PARV2_013,PARV2_203,1.354,0.677,2_pares
