par_1,par_2,par_3,fluxo,score_total,score_medio,tipo_ciclo
PAR_012,PAR_075,PAR_117,PAR_012 → PAR_075 → PAR_117 → PAR_012,2.359,0.786,3_pares
PAR_003,PAR_012,PAR_075,PAR_003 → PAR_012 → PAR_075 → PAR_003,2.313,0.771,3_pares
PAR_003,PAR_012,PAR_094,PAR_003 → PAR_012 → PAR_094 → PAR_003,2.306,0.769,3_pares
PAR_069,PAR_075,PAR_117,PAR_069 → PAR_075 → PAR_117 → PAR_069,2.3,0.767,3_pares
PAR_037,PAR_075,PAR_117,PAR_037 → PAR_075 → PAR_117 → PAR_037,2.297,0.766,3_pares
PAR_003,PAR_075,PAR_055,PAR_003 → PAR_075 → PAR_055 → PAR_003,2.297,0.766,3_pares
PAR_037,PAR_070,PAR_093,PAR_037 → PAR_070 → PAR_093 → PAR_037,2.293,0.764,3_pares
PAR_037,PAR_057,PAR_075,PAR_037 → PAR_057 → PAR_075 → PAR_037,2.291,0.764,3_pares
PAR_055,PAR_069,PAR_075,PAR_055 → PAR_069 → PAR_075 → PAR_055,2.291,0.764,3_pares
PAR_070,PAR_093,PAR_075,PAR_070 → PAR_093 → PAR_075 → PAR_070,2.291,0.764,3_pares
PAR_012,PAR_037,PAR_117,PAR_012 → PAR_037 → PAR_117 → PAR_012,2.288,0.763,3_pares
PAR_052,PAR_080,PAR_075,PAR_052 → PAR_080 → PAR_075 → PAR_052,2.288,0.763,3_pares
PAR_037,PAR_075,PAR_055,PAR_037 → PAR_075 → PAR_055 → PAR_037,2.288,0.763,3_pares
PAR_005,PAR_037,PAR_075,PAR_005 → PAR_037 → PAR_075 → PAR_005,2.284,0.761,3_pares
PAR_015,PAR_055,PAR_090,PAR_015 → PAR_055 → PAR_090 → PAR_015,2.283,0.761,3_pares
PAR_037,PAR_075,PAR_069,PAR_037 → PAR_075 → PAR_069 → PAR_037,2.282,0.761,3_pares
PAR_003,PAR_015,PAR_055,PAR_003 → PAR_015 → PAR_055 → PAR_003,2.281,0.76,3_pares
PAR_012,PAR_037,PAR_057,PAR_012 → PAR_037 → PAR_057 → PAR_012,2.281,0.76,3_pares
PAR_003,PAR_012,PAR_021,PAR_003 → PAR_012 → PAR_021 → PAR_003,2.28,0.76,3_pares
PAR_003,PAR_012,PAR_069,PAR_003 → PAR_012 → PAR_069 → PAR_003,2.28,0.76,3_pares
PAR_012,PAR_075,PAR_014,PAR_012 → PAR_075 → PAR_014 → PAR_012,2.279,0.76,3_pares
PAR_012,PAR_075,PAR_057,PAR_012 → PAR_075 → PAR_057 → PAR_012,2.279,0.76,3_pares
PAR_012,PAR_075,PAR_070,PAR_012 → PAR_075 → PAR_070 → PAR_012,2.278,0.759,3_pares
PAR_003,PAR_037,PAR_012,PAR_003 → PAR_037 → PAR_012 → PAR_003,2.278,0.759,3_pares
PAR_003,PAR_037,PAR_036,PAR_003 → PAR_037 → PAR_036 → PAR_003,2.278,0.759,3_pares
PAR_046,PAR_069,PAR_075,PAR_046 → PAR_069 → PAR_075 → PAR_046,2.275,0.758,3_pares
PAR_003,PAR_092,PAR_028,PAR_003 → PAR_092 → PAR_028 → PAR_003,2.274,0.758,3_pares
PAR_012,PAR_094,PAR_057,PAR_012 → PAR_094 → PAR_057 → PAR_012,2.272,0.757,3_pares
PAR_003,PAR_012,PAR_061,PAR_003 → PAR_012 → PAR_061 → PAR_003,2.272,0.757,3_pares
PAR_015,PAR_055,PAR_037,PAR_015 → PAR_055 → PAR_037 → PAR_015,2.272,0.757,3_pares
PAR_012,PAR_069,PAR_037,PAR_012 → PAR_069 → PAR_037 → PAR_012,2.271,0.757,3_pares
PAR_003,PAR_075,PAR_117,PAR_003 → PAR_075 → PAR_117 → PAR_003,2.27,0.757,3_pares
