par_1,par_2,par_3,fluxo,score_total,score_medio,tipo_ciclo
PARV2_049,PARV2_166,PARV2_219,PARV2_049 → PARV2_166 → PARV2_219 → PARV2_049,2.362,0.787,3_pares
PARV2_049,PARV2_166,PARV2_065,PARV2_049 → PARV2_166 → PARV2_065 → PARV2_049,2.331,0.777,3_pares
PARV2_159,PARV2_166,PARV2_219,PARV2_159 → PARV2_166 → PARV2_219 → PARV2_159,2.289,0.763,3_pares
PARV2_116,PARV2_166,PARV2_159,PARV2_116 → PARV2_166 → PARV2_159 → PARV2_116,2.287,0.762,3_pares
PARV2_049,PARV2_166,PARV2_177,PARV2_049 → PARV2_166 → PARV2_177 → PARV2_049,2.283,0.761,3_pares
PARV2_065,PARV2_159,PARV2_166,PARV2_065 → PARV2_159 → PARV2_166 → PARV2_065,2.283,0.761,3_pares
PARV2_090,PARV2_193,PARV2_204,PARV2_090 → PARV2_193 → PARV2_204 → PARV2_090,2.277,0.759,3_pares
PARV2_013,PARV2_159,PARV2_113,PARV2_013 → PARV2_159 → PARV2_113 → PARV2_013,2.275,0.758,3_pares
PARV2_087,PARV2_129,PARV2_159,PARV2_087 → PARV2_129 → PARV2_159 → PARV2_087,2.275,0.758,3_pares
PARV2_125,PARV2_129,PARV2_159,PARV2_125 → PARV2_129 → PARV2_159 → PARV2_125,2.273,0.758,3_pares
PARV2_049,PARV2_166,PARV2_107,PARV2_049 → PARV2_166 → PARV2_107 → PARV2_049,2.271,0.757,3_pares
PARV2_049,PARV2_166,PARV2_181,PARV2_049 → PARV2_166 → PARV2_181 → PARV2_049,2.269,0.756,3_pares
PARV2_113,PARV2_129,PARV2_159,PARV2_113 → PARV2_129 → PARV2_159 → PARV2_113,2.267,0.756,3_pares
PARV2_049,PARV2_166,PARV2_090,PARV2_049 → PARV2_166 → PARV2_090 → PARV2_049,2.264,0.755,3_pares
PARV2_049,PARV2_159,PARV2_166,PARV2_049 → PARV2_159 → PARV2_166 → PARV2_049,2.264,0.755,3_pares
PARV2_049,PARV2_166,PARV2_221,PARV2_049 → PARV2_166 → PARV2_221 → PARV2_049,2.261,0.754,3_pares
PARV2_159,PARV2_166,PARV2_181,PARV2_159 → PARV2_166 → PARV2_181 → PARV2_159,2.259,0.753,3_pares
PARV2_022,PARV2_129,PARV2_159,PARV2_022 → PARV2_129 → PARV2_159 → PARV2_022,2.256,0.752,3_pares
PARV2_049,PARV2_159,PARV2_107,PARV2_049 → PARV2_159 → PARV2_107 → PARV2_049,2.254,0.751,3_pares
PARV2_129,PARV2_166,PARV2_159,PARV2_129 → PARV2_166 → PARV2_159 → PARV2_129,2.254,0.751,3_pares
PARV2_049,PARV2_142,PARV2_204,PARV2_049 → PARV2_142 → PARV2_204 → PARV2_049,2.252,0.751,3_pares
PARV2_166,PARV2_219,PARV2_193,PARV2_166 → PARV2_219 → PARV2_193 → PARV2_166,2.251,0.75,3_pares
PARV2_013,PARV2_049,PARV2_198,PARV2_013 → PARV2_049 → PARV2_198 → PARV2_013,2.251,0.75,3_pares
PARV2_049,PARV2_166,PARV2_204,PARV2_049 → PARV2_166 → PARV2_204 → PARV2_049,2.248,0.749,3_pares
PARV2_049,PARV2_159,PARV2_090,PARV2_049 → PARV2_159 → PARV2_090 → PARV2_049,2.247,0.749,3_pares
PARV2_129,PARV2_159,PARV2_198,PARV2_129 → PARV2_159 → PARV2_198 → PARV2_129,2.244,0.748,3_pares
PARV2_013,PARV2_049,PARV2_159,PARV2_013 → PARV2_049 → PARV2_159 → PARV2_013,2.243,0.748,3_pares
PARV2_049,PARV2_079,PARV2_065,PARV2_049 → PARV2_079 → PARV2_065 → PARV2_049,2.239,0.746,3_pares
PARV2_013,PARV2_074,PARV2_113,PARV2_013 → PARV2_074 → PARV2_113 → PARV2_013,2.236,0.745,3_pares
PARV2_166,PARV2_219,PARV2_200,PARV2_166 → PARV2_219 → PARV2_200 → PARV2_166,2.236,0.745,3_pares
PARV2_049,PARV2_159,PARV2_129,PARV2_049 → PARV2_159 → PARV2_129 → PARV2_049,2.235,0.745,3_pares
PARV2_166,PARV2_181,PARV2_204,PARV2_166 → PARV2_181 → PARV2_204 → PARV2_166,2.235,0.745,3_pares
PARV2_049,PARV2_239,PARV2_107,PARV2_049 → PARV2_239 → PARV2_107 → PARV2_049,2.234,0.745,3_pares
PARV2_049,PARV2_166,PARV2_121,PARV2_049 → PARV2_166 → PARV2_121 → PARV2_049,2.23,0.743,3_pares
PARV2_125,PARV2_166,PARV2_159,PARV2_125 → PARV2_166 → PARV2_159 → PARV2_125,2.23,0.743,3_pares
PARV2_166,PARV2_219,PARV2_179,PARV2_166 → PARV2_219 → PARV2_179 → PARV2_166,2.23,0.743,3_pares
PARV2_090,PARV2_193,PARV2_159,PARV2_090 → PARV2_193 → PARV2_159 → PARV2_090,2.228,0.743,3_pares
PARV2_035,PARV2_049,PARV2_166,PARV2_035 → PARV2_049 → PARV2_166 → PARV2_035,2.225,0.742,3_pares
PARV2_013,PARV2_049,PARV2_166,PARV2_013 → PARV2_049 → PARV2_166 → PARV2_013,2.224,0.741,3_pares
PARV2_049,PARV2_166,PARV2_116,PARV2_049 → PARV2_166 → PARV2_116 → PARV2_049,2.221,0.74,3_pares
PARV2_159,PARV2_235,PARV2_181,PARV2_159 → PARV2_235 → PARV2_181 → PARV2_159,2.22,0.74,3_pares
PARV2_090,PARV2_127,PARV2_204,PARV2_090 → PARV2_127 → PARV2_204 → PARV2_090,2.219,0.74,3_pares
PARV2_129,PARV2_159,PARV2_187,PARV2_129 → PARV2_159 → PARV2_187 → PARV2_129,2.217,0.739,3_pares
PARV2_049,PARV2_142,PARV2_166,PARV2_049 → PARV2_142 → PARV2_166 → PARV2_049,2.217,0.739,3_pares
PARV2_049,PARV2_159,PARV2_193,PARV2_049 → PARV2_159 → PARV2_193 → PARV2_049,2.216,0.739,3_pares
PARV2_013,PARV2_159,PARV2_198,PARV2_013 → PARV2_159 → PARV2_198 → PARV2_013,2.216,0.739,3_pares
PARV2_159,PARV2_164,PARV2_166,PARV2_159 → PARV2_164 → PARV2_166 → PARV2_159,2.216,0.739,3_pares
PARV2_074,PARV2_166,PARV2_219,PARV2_074 → PARV2_166 → PARV2_219 → PARV2_074,2.214,0.738,3_pares
PARV2_129,PARV2_159,PARV2_204,PARV2_129 → PARV2_159 → PARV2_204 → PARV2_129,2.212,0.737,3_pares
PARV2_014,PARV2_074,PARV2_166,PARV2_014 → PARV2_074 → PARV2_166 → PARV2_014,2.212,0.737,3_pares
